Categoria,Promedio
"Environmental",7.721222222222222
"Medical",7.915666666666667
"Card Game",7.307359375000002
"Civilization",7.54170731707317
"Economic",7.585000000000003
"Modern Warfare",7.889
"Political",7.5348500000000005
"Wargame",7.689358974358977
"Movies / TV / Radio theme",7.56835
"Science Fiction",7.4664714285714275
"Animals",7.2806875
"Fantasy",7.48837168141593
"Farming",7.694599999999999
"Fighting",7.47904301075269
"Territory Building",7.480560975609757
"Ancient",7.4030263157894725
"City Building",7.450764705882352
"Adventure",7.588479166666667
"Exploration",7.3683157894736855
"Dice",7.391292682926831
"Miniatures",7.677297872340423
"Novel-based",7.573045454545454
"Mythology",7.4763684210526336
"Industry / Manufacturing",7.686444444444443
"Space Exploration",7.438142857142858
"Bluffing",7.2951162790697675
"Deduction",7.445296296296294
"Party Game",7.30612
"Spies/Secret Agents",7.539000000000001
"Word Game",7.686
"Nautical",7.50876923076923
"Medieval",7.383666666666668
"Renaissance",7.527960000000002
"Horror",7.53509375
"Zombies",7.552714285714286
"Religious",7.7328
"Travel",7.54975
"Negotiation",7.353641025641025
"Prehistoric",7.239375000000001
"Abstract Strategy",7.360066666666667
"Puzzle",7.487
"Arabian",7.4666
"Aviation / Flight",7.203428571428572
"Collectible Components",7.5922857142857145
"Murder/Mystery",7.443666666666666
"Trains",7.501066666666666
"Post-Napoleonic",7.563
"Action / Dexterity",7.1165714285714285
"World War I",7.426333333333333
"Transportation",7.477315789473684
"Video Game Theme",7.5333
"World War II",7.713500000000001
"Comic Book / Strip",7.4166
"American West",7.401416666666667
"Humor",7.280333333333333
"Electronic",7.233499999999999
"Real-time",7.21825
"Civil War",7.680000000000001
"Pirates",7.197777777777778
"Mature / Adult",7.994666666666667
"Age of Reason",7.535777777777778
"American Indian Wars",7.6485
"Sports",7.2338000000000005
"American Revolutionary War",7.843
"Educational",7.230285714285714
"N/A",7.384
"Napoleonic",7.6945
"American Civil War",7.52025
"Racing",7.144000000000001
"Print & Play",7.4295
"Trivia",6.994
"Maze",6.9994
"Children's Game",6.919166666666666
"Mafia",7.111
"Memory",7.1555
