anio,jugadores,tiempo,edad,estrategia,nombre,categorias,sistemas,familia,nota,cantidad,desviacion
2015,2–4,60,13+,2.80,Pandemic Legacy: Season 1,Environmental|#|Medical,Action Point Allowance System|#|Co-operative Play|#|Hand Management|#|Point to Point Movement|#|Set Collection|#|Trading|#|Variable Player Powers,Campaign Games|#|Legacy|#|Pandemic,8651,13314,1.82
2015,2–4,180–240,14+,4.28,Through the Ages: A New Story of Civilization,Card Game|#|Civilization|#|Economic,Action Point Allowance System|#|Auction/Bidding|#|Card Drafting|#|Hand Management,Tableau Building,8823,5042,1.47
2005,2,180,13+,3.52,Twilight Struggle,Modern Warfare|#|Political|#|Wargame,Area Control / Area Influence|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management|#|Simultaneous Action Selection,N/A,8359,25192,1.61
2016,2–4,180–240,14+,3.52,Star Wars: Rebellion,Movies / TV / Radio theme|#|Science Fiction|#|Wargame,Area Control / Area Influence|#|Area Movement|#|Dice Rolling|#|Hand Management,Components: Miniatures|#|Fantasy Flight Big Box|#|Star Wars,8568,5411,1.37
2013,1–7,30–210,12+,3.79,Caverna: The Cave Farmers,Animals|#|Economic|#|Fantasy|#|Farming,Tile Placement|#|Worker Placement,Animals: Sheep|#|Harvest Series|#|Mining|#|Solitaire Games,8208,14866,1.37
2016,1–5,90–115,14+,3.29,Scythe,Civilization|#|Economic|#|Fighting|#|Territory Building,Area Control / Area Influence|#|Grid Movement|#|Variable Player Powers,4X games|#|Alternate History|#|Crowdfunding: Kickstarter|#|Scythe|#|Solitaire Games,8369,8609,1.34
2015,2,30,10+,2.24,7 Wonders Duel,Ancient|#|Card Game|#|City Building|#|Civilization,Card Drafting|#|Set Collection,7 Wonders|#|Tableau Building,8206,14574,1.11
2006,2–4,240,12+,4.17,Through the Ages: A Story of Civilization,City Building|#|Civilization|#|Economic,Action Point Allowance System|#|Auction/Bidding|#|Card Drafting|#|Hand Management,Tableau Building,8120,14941,1.65
2011,1–4,150,14+,4.19,Mage Knight Board Game,Adventure|#|Exploration|#|Fantasy|#|Fighting,Card Drafting|#|Co-operative Play|#|Deck / Pool Building|#|Dice Rolling|#|Grid Movement|#|Hand Management|#|Modular Board|#|Role Playing|#|Tile Placement|#|Variable Player Powers,Clix|#|Components: Miniatures|#|Mage Knight Universe|#|Solitaire Games,8142,16742,1.61
2012,2–4,150–180,13+,3.97,War of the Ring (second edition),Adventure|#|Dice|#|Fantasy|#|Miniatures|#|Novel-based|#|Territory Building|#|Wargame,Area Control / Area Influence|#|Area Movement|#|Campaign / Battle Card Driven|#|Dice Rolling|#|Hand Management,Monsters|#|Tolkien Games|#|War of the Ring,8361,5585,1.56
2014,2–5,60–120,14+,3.28,Star Wars: Imperial Assault,Adventure|#|Fighting|#|Miniatures|#|Movies / TV / Radio theme|#|Science Fiction|#|Wargame,Dice Rolling|#|Grid Movement|#|Modular Board|#|Partnerships|#|Role Playing|#|Variable Player Powers,Campaign Games|#|Fantasy Flight Big Box|#|Star Wars|#|Star Wars: Imperial Assault,8244,9498,1.41
2015,2–4,60–90,13+,2.91,Blood Rage,Fantasy|#|Fighting|#|Miniatures|#|Mythology,Action Point Allowance System|#|Area Control / Area Influence|#|Area Movement|#|Card Drafting|#|Variable Player Powers,Components: Miniatures|#|Crowdfunding: Kickstarter|#|Vikings,8196,9792,1.36
2004,2–6,120,12+,3.29,Power Grid,Economic|#|Industry / Manufacturing,Auction/Bidding|#|Route/Network Building,Country: Germany|#|Country: USA|#|Power Grid,7959,40065,1.33
